"Exact
age",(Male) Death probability,(Male) Number of lives,(Male) Life expectancy,(Female) Death probability,(Female) Number of lives,(Female) Life expectancy
80,0.065568,"45,397",7.74,0.047148,"60,931",9.1
81,0.07213,"42,420",7.25,0.052545,"58,058",8.53
82,0.079691,"39,360",6.77,0.058685,"55,007",7.98
83,0.088578,"36,224",6.31,0.065807,"51,779",7.44
84,0.098388,"33,015",5.88,0.074052,"48,372",6.93
85,0.109139,"29,767",5.47,0.083403,"44,790",6.44
86,0.120765,"26,518",5.07,0.093798,"41,054",5.99
87,0.133763,"23,316",4.7,0.104958,"37,203",5.55
88,0.14837,"20,197",4.35,0.117435,"33,299",5.15
89,0.164535,"17,200",4.02,0.13154,"29,388",4.76
90,0.182632,"14,370",3.72,0.146985,"25,522",4.41
91,0.202773,"11,746",3.44,0.163592,"21,771",4.08
92,0.223707,"9,364",3.18,0.181562,"18,209",3.78
93,0.245124,"7,269",2.96,0.200724,"14,903",3.51
94,0.266933,"5,487",2.75,0.219958,"11,912",3.27
95,0.288602,"4,023",2.57,0.23946,"9,292",3.05
96,0.309781,"2,862",2.42,0.258975,"7,067",2.85
97,0.330099,"1,975",2.28,0.278225,"5,237",2.68
98,0.349177,"1,323",2.15,0.296912,"3,780",2.52
99,0.366635,861,2.04,0.314727,"2,657",2.37
100,0.384967,545,1.93,0.33361,"1,821",2.23
101,0.404215,335,1.83,0.353627,"1,214",2.09
102,0.424426,200,1.73,0.374844,784,1.96
103,0.445648,115,1.63,0.397335,490,1.84
104,0.46793,64,1.54,0.421175,296,1.72
105,0.491326,34,1.45,0.446446,171,1.61
106,0.515893,17,1.36,0.473232,95,1.5
107,0.541687,8,1.28,0.501626,50,1.4
108,0.568772,4,1.2,0.531724,25,1.3
109,0.59721,2,1.13,0.563627,12,1.21
110,0.627071,1,1.05,0.597445,5,1.12
111,0.658424,0,0.98,0.633292,2,1.03
112,0.691346,0,0.92,0.671289,1,0.95
113,0.725913,0,0.85,0.711567,0,0.88
114,0.762209,0,0.79,0.754261,0,0.8
115,0.800319,0,0.74,0.799516,0,0.74
116,0.840335,0,0.68,0.840335,0,0.68
117,0.882352,0,0.63,0.882352,0,0.63
118,0.926469,0,0.58,0.926469,0,0.58
119,0.972793,0,0.53,0.972793,0,0.53
